Suburb,property type,bedrooms,bathrooms,Parking space,address,Price,Link
Doncaster & Doncaster East,Apartment,3,2,2,"504/65 Stables Circuit, Doncaster East, Vic 3109","$1,000,000 - $1,100,000",https://www.realestate.com.au/property-apartment-vic-doncaster+east-149095160
Doncaster & Doncaster East,House,4,2,3,"88 Bowen Road, Doncaster East, Vic 3109","$1,000,000 - $1,100,000",https://www.realestate.com.au/property-house-vic-doncaster+east-148566560
Doncaster & Doncaster East,Apartment,2,2,1,"603/5 Sovereign Point Court, Doncaster, Vic 3108","$570,000 - $600,000",https://www.realestate.com.au/property-apartment-vic-doncaster-148953756
Doncaster & Doncaster East,House,3,2,2,"4 Kauri Court, Doncaster East, Vic 3109","$1,650,000 ",https://www.realestate.com.au/property-house-vic-doncaster+east-148816780
Doncaster & Doncaster East,Townhouse,5,3,2,"61 Morello Circle, Doncaster East, Vic 3109","$1,200,000 - $1,300,000",https://www.realestate.com.au/property-townhouse-vic-doncaster+east-148684768
Doncaster & Doncaster East,Townhouse,3,2,2,"1/11 Thiele Street, Doncaster, Vic 3108","$1,270,000 - $1,350,000",https://www.realestate.com.au/property-townhouse-vic-doncaster-148685952
Doncaster & Doncaster East,House,5,3,2,"60 Deep Creek Drive, Doncaster East, Vic 3109","$1,950,000 - $2,050,000",https://www.realestate.com.au/property-house-vic-doncaster+east-148563544
Doncaster & Doncaster East,House,5,2,3,"27 Marilyn Street, Doncaster, Vic 3108","$1,620,000 ",https://www.realestate.com.au/property-house-vic-doncaster-148685512
Doncaster & Doncaster East,Apartment,2,2,1,"608/9 Williamsons road, Doncaster, Vic 3108","$579,000 - $620,000",https://www.realestate.com.au/property-apartment-vic-doncaster-145596472
Doncaster & Doncaster East,Apartment,4,2,4,"23 Koolkuna Avenue, Doncaster, Vic 3108","$1,600,000 - $1,700,000",https://www.realestate.com.au/property-house-vic-doncaster-148949424
Doncaster & Doncaster East,Apartment,2,2,1,"129/65 Stables Street, Doncaster, Vic 3108","$680,000 - $720,000",https://www.realestate.com.au/property-apartment-vic-doncaster-149012636
Doncaster & Doncaster East,Apartment,2,2,1,"304/180 Reynolds Road, Doncaster East, Vic 3109","$585,000 - $620,000",https://www.realestate.com.au/property-apartment-vic-doncaster+east-148946304
Doncaster & Doncaster East,Apartment,3,3,2,"405/18 Berkeley Street, Doncaster, Vic 3108","$750,000 ",https://www.realestate.com.au/property-apartment-vic-doncaster-147947956
Doncaster & Doncaster East,House,5,3,3,"56A Deep Creek Drive, Doncaster East, Vic 3109","$2,200,000 - $2,400,000",https://www.realestate.com.au/property-house-vic-doncaster+east-147163852
Doncaster & Doncaster East,Apartment,2,2,1,"704/9 Williamsons Road, Doncaster, Vic 3108","$550,000 - $580,000",https://www.realestate.com.au/property-apartment-vic-doncaster-147946516
Doncaster & Doncaster East,House,5,5,2,"57 Polaris Drive, Doncaster East, Vic 3109","$3,400,000 - $3,700,000",https://www.realestate.com.au/property-house-vic-doncaster+east-149079240
Doncaster & Doncaster East,Townhouse,4,3,2,"34 Members Drive, Doncaster, Vic 3108","$1,750,000 - $1,800,000",https://www.realestate.com.au/property-townhouse-vic-doncaster-148671324
Doncaster & Doncaster East,House,5,3,2,"5 Philip Avenue, Doncaster, Vic 3108","$1,780,000 - $1,880,000",https://www.realestate.com.au/property-house-vic-doncaster-148934196
Doncaster & Doncaster East,Townhouse,4,2,2,"2A Carnarvon St, Doncaster, Vic 3108","$1,100,000 - $1,150,000",https://www.realestate.com.au/property-townhouse-vic-doncaster-147940088
Doncaster & Doncaster East,House,5,3,4,"5 Ryall Court, Doncaster, Vic 3108","$1,400,000 - $1,500,000",https://www.realestate.com.au/property-house-vic-doncaster-149074532
Doncaster & Doncaster East,Townhouse,4,3,2,"5/285-287 George Street, Doncaster, Vic 3108","$1,400,000 - $1,540,000",https://www.realestate.com.au/property-townhouse-vic-doncaster-148798732
Doncaster & Doncaster East,House,5,3,2,"9 Saxon Street, Doncaster, Vic 3108","$1,580,000-$1,730,000",https://www.realestate.com.au/property-house-vic-doncaster-149070656
Doncaster & Doncaster East,Apartment,2,1,2,"5/15 Firth Street, Doncaster, Vic 3108","$480,000 to $520,000",https://www.realestate.com.au/property-apartment-vic-doncaster-149068460
Doncaster & Doncaster East,House,5,2,2,"25 Finlayson Street, Doncaster, Vic 3108","$1,550,000 ",https://www.realestate.com.au/property-house-vic-doncaster-148794492
Doncaster & Doncaster East,Apartment,2,2,1,"G04/160 Williamsons Road, Doncaster, Vic 3108","$600,000 - $620,000",https://www.realestate.com.au/property-apartment-vic-doncaster-148925524
Doncaster & Doncaster East,Apartment,2,2,1,"308/65 Stables Circuit, Doncaster, Vic 3108","$590,000 - $640,000",https://www.realestate.com.au/property-apartment-vic-doncaster-146239632
Doncaster & Doncaster East,Townhouse,3,2,2,"3/31 Ross Street, Doncaster East, Vic 3109","$800,000-$880,000",https://www.realestate.com.au/property-townhouse-vic-doncaster+east-149012528
Doncaster & Doncaster East,House,3,2,1,"9 Arnold Grove, Doncaster, Vic 3108","$1,880,000 - $1,980,000",https://www.realestate.com.au/property-house-vic-doncaster-148558800
